#"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "class"
0 0.561538461538462 0.739130434782609 0.5 1 1 0 0 1
0 0.253846153846154 0.782608695652174 0.5 1 1 0 0.4 1
0 0.423076923076923 0.782608695652174 0.5 1 1 0 0 1
0.125 0.784615384615385 0.782608695652174 0.5 0 1 1 0.4 1
0 0.638461538461538 0.782608695652174 0.5 0 0 0 0.6 1
0 0.423076923076923 0.782608695652174 0.5 0 1 0 0.6 1
0 0.292307692307692 0.782608695652174 0.5 0 1 0 0.6 0
0 0.415384615384615 0.782608695652174 0.5 0 1 0 0.2 0
0 0.253846153846154 0.826086956521739 0.5 1 1 0 0 0

